"Date","Daily Total BTC Inflow(USD)","Cumulative Total Net Inflow(USD)","Total Value Traded(USD)","Total Net Assets(USD)"
"2024/2/9","541,459,802","2,769,711,257.54","1,735,600,783","32,416,612,376"
"2024/2/8","405,038,948","2,228,251,455.54","1,281,257,288","30,490,841,640"
"2024/2/7","146,103,604","1,823,212,507.54","1,074,136,063","29,159,440,797"
"2024/2/6","33,737,956.17","1,677,108,903.54","692,114,287","28,352,571,733.33"
"2024/2/5","68,110,004.52","1,643,370,947.37","649,168,788","27,855,427,126.61"
"2024/2/2","80,071,714","1,575,260,942.85","1,004,269,745","28,158,689,625"
"2024/2/1","38,452,690","1,495,189,228.85","929,169,908","28,113,138,583"
"2024/1/31","197,689,835","1,456,736,538.85","1,210,004,331","27,813,977,577"
"2024/1/30","247,276,092","1,259,046,703.85","1,265,562,335","28,251,595,353"
"2024/1/29","255,388,519","1,011,770,611.85","1,568,391,775","27,729,847,959"
"2024/1/26","14,805,483","756,382,603","1,673,506,429","26,736,258,603"
"2024/1/25","-79,617,183","741,576,609.85","1,023,299,375","25,320,800,412"
"2024/1/24","-159,042,955.31","821,193,792.85","1,293,637,249","25,282,628,560.25"
"2024/1/23","-105,838,852.8","980,236,748.16","1,595,970,017","25,173,287,083.61"
"2024/1/22","-77,346,657.47","1,086,075,600.96","2,100,192,085","25,893,405,558.93"
"2024/1/19","42,237,416.19","1,163,422,258.43","2,574,213,657","26,906,671,295.15"
"2024/1/18","-134,779,830.88","1,121,184,842.24","2,155,957,616","26,377,588,658.32"
"2024/1/17","517,503,113.56","1,255,964,673.12","2,180,875,918","27,716,066,088.13"
"2024/1/16","-80,581,829.04","738,461,559.56","1,926,440,576","27,532,787,907.75"
"2024/1/12","190,973,808.6","819,043,388.6","3,185,166,205","27,932,766,328.9"
"2024/1/11","628,069,580","628,069,580","4,661,432,563","29,375,231,230"
"2024/1/10","0","Not updated","0","28,710,277,596.15"
